user_id,accounts_count,accounts,has_ftd,has_qftd
bullwaves-807792,1,3003877,0,0
bullwaves-807788,1,2000977,0,0
bullwaves-807784,1,3003876,0,0
bullwaves-807773,1,3003875,1,0
bullwaves-807768,1,2000976,0,0
bullwaves-807757,1,3003874,0,0
bullwaves-807742,1,2000973,0,0
bullwaves-807744,1,2000974,0,0
bullwaves-807735,1,2000972,1,0
bullwaves-807697,1,3003873,1,0
bullwaves-807693,1,3003872,0,0
bullwaves-807686,1,3003871,0,0
bullwaves-807664,1,2000970,0,0
bullwaves-807666,1,2000971,1,0
bullwaves-807645,1,2000969,1,0
bullwaves-807641,1,3003870,1,0
bullwaves-807637,1,3003869,0,0
bullwaves-807618,1,3003867,0,0
bullwaves-807603,1,3003866,1,0
bullwaves-807600,1,3003865,0,0
bullwaves-807620,1,3003868,0,0
bullwaves-807593,1,3003864,1,0
bullwaves-807580,1,3003863,1,0
bullwaves-807559,1,3003862,0,0
bullwaves-807555,1,3003861,0,0
bullwaves-807542,1,3003860,0,0
bullwaves-807548,1,2000968,0,0
bullwaves-807537,1,3003859,0,0
bullwaves-807514,1,2000967,0,0
bullwaves-807501,1,3003857,0,0
bullwaves-807479,1,3003856,0,0
bullwaves-807461,1,3003854,0,0
bullwaves-807468,1,3003855,1,0
bullwaves-807448,1,3003853,0,0
bullwaves-807400,1,3003852,1,0
bullwaves-807384,1,3003851,0,0
bullwaves-807360,1,,0,0
bullwaves-807364,1,3003850,1,0
bullwaves-807323,1,3003848,1,0
bullwaves-807273,1,3003846,0,0
bullwaves-807269,1,2000965,0,0
bullwaves-807281,1,2000966,0,0
bullwaves-807249,1,3003845,1,0
bullwaves-807232,1,3003844,0,0
bullwaves-807212,1,3003842,0,0
bullwaves-807190,1,3003841,1,0
bullwaves-807192,1,2000964,1,0
bullwaves-807152,1,3003840,1,0
bullwaves-807134,1,"3003838,3003977,3003979",0,0
bullwaves-807137,1,3003839,0,0
bullwaves-807074,1,"3003837,3003843",1,0
bullwaves-807085,1,2000963,0,0
bullwaves-807039,1,3003835,0,0
bullwaves-807028,1,2000962,0,0
bullwaves-807013,1,3003834,1,1
bullwaves-806981,1,2000961,1,0
bullwaves-806927,1,2000960,0,0
bullwaves-806908,1,3003833,1,0
bullwaves-806889,1,3003832,0,0
bullwaves-806917,1,2000959,1,0
bullwaves-806871,1,3003829,0,0
bullwaves-806882,1,3003831,1,0
bullwaves-806851,1,2000958,0,0
bullwaves-806824,1,2000956,0,0
bullwaves-806791,1,2000955,0,0
bullwaves-806730,1,3003828,0,0
bullwaves-806151,1,3003826,0,0
bullwaves-806418,1,3003827,0,0
bullwaves-806130,1,2000954,1,0
bullwaves-806110,1,2000953,1,0
bullwaves-806056,1,3003825,1,0
bullwaves-806047,1,"3003824,3003966",1,0
bullwaves-806023,1,3003823,0,0
bullwaves-805968,1,2000951,0,0
bullwaves-805927,1,3003822,0,0
bullwaves-805854,1,3003820,1,0
bullwaves-805865,1,3003821,0,0
bullwaves-805837,1,3003819,0,0
bullwaves-805823,1,3003817,0,0
bullwaves-805832,1,3003818,0,0
bullwaves-805820,1,3003816,0,0
bullwaves-805835,1,2000949,0,0
bullwaves-805810,1,3003815,0,0
bullwaves-805804,1,3003814,0,0
bullwaves-805802,1,3003813,0,0
bullwaves-805753,1,3003808,0,0
bullwaves-805772,1,3003811,0,0
bullwaves-805757,1,3003809,0,0
bullwaves-805766,1,3003810,1,0
bullwaves-805729,1,3003807,0,0
bullwaves-805694,1,3003805,0,0
bullwaves-805678,1,3003804,0,0
bullwaves-805640,1,3003802,1,0
bullwaves-805641,1,3003803,1,0
bullwaves-805599,1,2000948,0,0
bullwaves-805605,1,3003800,0,0
bullwaves-805596,1,3003799,0,0
bullwaves-805563,1,2000947,1,0
bullwaves-805550,1,3003795,0,0
bullwaves-805569,1,"3003797,3003798",1,1
bullwaves-805553,1,3003796,0,0
bullwaves-805457,1,2000946,1,0
bullwaves-805475,1,3003794,0,0
bullwaves-805463,1,3003793,0,0
bullwaves-805451,1,3003792,1,0
bullwaves-805430,1,3003789,0,0
bullwaves-805436,1,3003790,0,0
bullwaves-805285,1,,0,0
